"CODE","DESCRIPTION"
"TRADER","Trading permission"
"SUPPORT","Support permissions"
"INSERT_USER","INSERT_USER"
"AMEND_USER","AMEND_USER"
"DELETE_USER","DELETE_USER"
"INSERT_PROFILE","INSERT_PROFILE"
"AMEND_PROFILE","AMEND_PROFILE"
"DELETE_PROFILE","DELETE_PROFILE"
"ENABLE_USER","ENABLE_USER"
"DISABLE_USER","DISABLE_USER"
"NotificationAdminAction","Ability to perform any notification admin action"
"NotificationRuleCreate","Create a notification rule"
"NotificationRuleUpdate","Update a notification rule"
"NotificationRuleDelete","Delete a notification rule"
"NotificationRuleSubscribe","Subscribe to a notification rule"
"NotificationRuleUnsubscribe","Unsubscribe from a notification rule"
"NotificationRuleEnable","Enable a notification rule"
"NotificationRuleDisable","Disable a notification rule"
"NotificationRuleTemplateCreate","Create a notification rule template"
"NotificationRuleTemplateUpdate","Update a notification rule template"
"NotificationRuleTemplateDelete","Delete a notification rule template"
"NotificationRuleTemplateView","View a notification rule template"
"NotificationRuleView","View notification rule data"
"NotificationRouteTopicsView","View notification route topics"
"NotificationRouteCreate","Create a notification route"
"NotificationRouteUpdate","Update a notification route"
"NotificationRouteDelete","Delete a notification route"
"NotificationRouteView","View a notification route"
"NotificationView","View notify records"
"NotificationAuditView","View notify audit records"
"FILE_STORAGE","Store Files"
"VIEW_BBG_DATA","Ability to view Bloomberg data"

